Molecule ChEMBL ID,Smiles,pIC50,pIC50_std,n_measurements
CHEMBL4533337,O=C1c2cc(-c3ccc(N4CCNCC4)cc3)ccc2Nc2ccc(F)cc2N1Cc1ccccc1,7.156666666666666,0.9757219549304673,3
CHEMBL4537422,CC1(C)CC[C@]2(C(=O)OCCCCO[N+](=O)[O-])CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2C1,7.4,0.0,1
CHEMBL4538066,COc1cc2c(Nc3ccc(NC(=O)C(C4CCCCC4)N4Cc5ccccc5C4=O)cc3F)ncnc2cc1OCC1CCN(C)CC1,6.75,0.0,1
CHEMBL4558528,CN1CCN(c2ccc(Oc3ccc4c(c3)C(=O)N(Cc3ccccc3)c3cc(F)ccc3N4)cc2)CC1,7.493333333333333,0.6870468203356543,3
CHEMBL4588786,CC(=O)OC[C@@]1(C)[C@@H]2CC[C@]3(C)[C@H](CC=C4[C@@H]5CC(C)(C)CC[C@]5(C(=O)OCCCCO[N+](=O)[O-])CC[C@]43C)[C@@]2(C)CC[C@@H]1OC(C)=O,8.0,0.0,1
CHEMBL4591327,CC(C)(O)Cn1/c(=N/C(=O)c2cc(F)cc(-c3cccnc3)c2)[nH]c2ccccc21,5.68,0.0,1
CHEMBL4593609,COc1cc2c(Nc3ccc(NC(=O)[C@@H](c4ccccc4)N4Cc5ccccc5C4=O)cc3F)ncnc2cc1OCC1CCN(C)CC1,7.72,0.0,1
CHEMBL4639459,CCC(=O)Nc1cc(Nc2nccc(-c3cn(CCCO)c4ccccc34)n2)c(OC)cc1F,6.37,0.0,1
CHEMBL4641096,CCC(=O)Nc1cc(Nc2nccc(-c3cn(CCCO)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,6.2,0.0,1
CHEMBL4647073,CCC(=O)Nc1cc(Nc2nccc(-c3cn(CCCO)c4ccc(F)cc34)n2)c(OC)cc1F,6.48,0.0,1
CHEMBL4649261,COc1cc(N(C)CCN(C)C)ccc1Nc1nccc(-c2cn(CCCO)c3ccccc23)n1,7.13,0.8140638795573724,3
CHEMBL4650319,C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,6.44,0.0,1
CHEMBL4744973,CN1CCN(c2ccc(Nc3ncc4nc(Nc5ccc(F)cc5)n([C@H]5CCN(S(=O)(=O)C6CC6)C5)c4n3)cc2)CC1,7.66,0.0,1
CHEMBL4752022,CN1CCN(c2ccc(Nc3ncc4nc(Nc5ccc(F)cc5)n([C@@H]5CCN(S(=O)(=O)C6CC6)C5)c4n3)cc2)CC1,7.66,0.0,1
CHEMBL4753389,C=CC(=O)Nc1cccc(-c2c(-c3ccc(N4CCN(C)CC4)cc3)[nH]c3ncnc(OCC(C)C)c23)c1,8.07,0.0,1
CHEMBL4758107,CNC(=O)CN1CC[C@H](n2c(Nc3ccc(F)cc3)nc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc32)C1,6.25,0.0,1
CHEMBL4780903,CN1CCN(c2ccc(Nc3ncc4nc(Nc5ccc(F)cc5)n([C@H]5CCN(C(=O)OC(C)(C)C)C5)c4n3)cc2)CC1,6.91,0.0,1
CHEMBL4786787,CN1CCN(c2ccc(Nc3ncc4nc(Nc5ccccc5)n([C@@H]5CCN(S(=O)(=O)C6CC6)C5)c4n3)cc2)CC1,7.575,0.24748737341529137,2
CHEMBL4795878,CN1CCN(c2ccc(Nc3ncc4nc(Nc5ccccc5)n([C@H]5CCN(S(=O)(=O)C6CC6)C5)c4n3)cc2)CC1,7.575,0.24748737341529137,2
CHEMBL4797395,CN1CCN(c2ccc(Nc3ncc4nc(Nc5ccc(F)cc5)n([C@H]5CCCN(C(=O)CO)C5)c4n3)cc2)CC1,7.39,0.0,1
CHEMBL4799276,C=CC(=O)Nc1cccc(-c2c(-c3ccc(N4CCN(C)CC4)cc3)[nH]c3ncnc(OC(C)C)c23)c1,8.07,0.0,1
CHEMBL4847264,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)c(N)c3)nc3[nH]ccc23)c1,6.92,0.0,1
CHEMBL4850239,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)c([N+](=O)[O-])c3)nc3[nH]ccc23)c1,6.08,0.0,1
CHEMBL4854693,C=CS(=O)(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3OC)ncc2Cl)c1,6.17,0.0,1
CHEMBL4855850,C#CCNC(=O)c1cc(Nc2cc(C3CC3)[nH]n2)nc(N2CCN(Cc3ccc(S(=O)(=O)F)cc3)CC2)n1,7.415000000000001,1.1384419177103413,2
CHEMBL4856343,COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1ncc(Cl)c(Nc2cccc(NC(C)=O)c2)n1,5.96,0.0,1
CHEMBL4865792,COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1ncc(Cl)c(Nc2cccc(NC(=O)CCl)c2)n1,6.02,0.0,1
CHEMBL4866162,COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1ncc(Cl)c(Nc2ccc(NCc3ccc(S(=O)(=O)F)cc3)cc2)n1,7.9925,0.8535953373818305,4
CHEMBL4873392,COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1ncc(Cl)c(Nc2cccc(NCCS(=O)(=O)F)c2)n1,6.34,0.0,1
CHEMBL4873600,COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1ncc(Cl)c(Nc2cccc(NC(=O)c3cccc(S(=O)(=O)F)c3)c2)n1,6.32,0.0,1
CHEMBL5076986,CN1CCN(C2CCN(c3ccc(Nc4ncc(Cl)c(Nc5ccccc5P(C)(C)=O)n4)cc3Cl)CC2)CC1,9.22,0.0,1
CHEMBL5077866,CN1CCN(C2CCN(c3ccc(Nc4ncc(Cl)c(Nc5ccccc5P(C)(C)=O)n4)cc3OC(F)(F)F)CC2)CC1,7.89,0.0,1
CHEMBL5078816,CN1CCN(C2CCN(c3ccc(Nc4ncc(Cl)c(Nc5ccccc5P(C)(C)=O)n4)cc3C(F)F)CC2)CC1,7.64,0.0,1
CHEMBL5081174,CN1CCN(C2CCN(c3cc(Cl)c(Nc4ncc(Cl)c(Nc5ccccc5P(C)(C)=O)n4)cc3Cl)CC2)CC1,9.15,0.0,1
CHEMBL5081817,CN1CCN(C2CCN(c3c(Cl)cc(Nc4ncc(Cl)c(Nc5ccccc5P(C)(C)=O)n4)cc3Cl)CC2)CC1,7.47,0.0,1
CHEMBL5084760,Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3P(C)(C)=O)n2)ccc1N1CCC(N2CCN(C)CC2)CC1,9.15,0.0,1
CHEMBL5086894,COc1cc(Nc2ncc(Cl)c(Nc3ccccc3P(C)(C)=O)n2)ccc1N1CCC(N2CCN(C)CC2)CC1,8.62,0.0,1
CHEMBL5087931,Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3P(C)(C)=O)n2)cnc1N1CCC(N2CCN(C)CC2)CC1,8.68,0.0,1
CHEMBL5088423,CN1CCN(C2CCN(c3ccc(Nc4ncc(Cl)c(Nc5ccccc5P(C)(C)=O)n4)cc3C(F)(F)F)CC2)CC1,8.46,0.0,1
CHEMBL5091683,CN1CCN(C2CCN(c3ccc(Nc4ncc(Br)c(Nc5ccccc5P(C)(C)=O)n4)cc3Cl)CC2)CC1,8.48,0.0,1
